Column Number	R Name	Excel Export Name from survey gizmo	R column name from csv import	Column name from csv export from survey gizmo
1	ID	Response ID	Response.ID	Response ID
2	TS	Time Started	Time.Started	Time Started
3	DS	Date Submitted	Date.Submitted	Date Submitted
4	STAT	Status	Status	Status
5	CONTID	Contact ID	Contact.ID	Contact ID
6	LEGCOM	Legacy Comments	Legacy.Comments	Legacy Comments
7	COM	Comments	Comments	Comments
8	LANG	Language	Language	Language
9	REF	Referer	Referer	Referer
10	EXREF	Extended Referer	Extended.Referer	Extended Referer
11	SESID	SessionID	SessionID	SessionID
12	USAG	User Agent	User.Agent	User Agent
13	EXUSAG	Extended User Agent	Extended.User.Agent	Extended User Agent
14	TAGS	Tags	Tags	Tags
15	IP	IP Address	IP.Address	IP Address
16	LON	Longitude	Longitude	Longitude
17	LAT	Latitude	Latitude	Latitude
18	CONTR	Country	Country	Country
19	CIT	City	City	City
20	ST	State/Region	State.Region	State/Region
21	PSTL	Postal	Postal	Postal
22	NAME	Name of survey respondent:	Name.of.survey.respondent.	Name of survey respondent:
23	EMAIL	What is your email address?	What.is.your.email.address.	What is your email address?
24	ORGPOS	What position do you hold in the organization/agency?	What.position.do.you.hold.in.the.organization.agency.	What position do you hold in the organization/agency?
25	ORGPOSOTH	Other - Write In:What position do you hold in the organization/agency?	Other...Write.In.What.position.do.you.hold.in.the.organization.agency.	Other - Write In:What position do you hold in the organization/agency?
26	ORGNAME	What is the name of your organization/agency?	What.is.the.name.of.your.organization.agency.	What is the name of your organization/agency?
27	ORGCIT	What city is your organization/agency based in?	What.city.is.your.organization.agency.based.in.	What city is your organization/agency based in?
28	ORGST	Which state your organization/agency is based in?	Which.state.your.organization.agency.is.based.in.	Which state your organization/agency is based in?
29	ORGZIP	What ZIP code is your organization/agency based in?	What.ZIP.code.is.your.organization.agency.based.in.	What ZIP code is your organization/agency based in?
30	NS1	NS1	NS1	NS1
31	NS1O	Other - Write In:NS1	Other...Write.In.NS1	Other - Write In:NS1
32	NS2	NS2	NS2	NS2
33	NS10	NS10	NS10	NS10
34	NS3Q1	Academic support programs:NS3	Academic.support.programs.NS3	Academic support programs:NS3
35	NS3Q2	After school/daycare programs:NS3	After.school.daycare.programs.NS3	After school/daycare programs:NS3
36	NS3Q3	Case management:NS3	Case.management.NS3	Case management:NS3
